Date,Total Spend by Date,Average Spend by Date,Number or Listings by Date
2017-10-02,431094.0,201.9175644028103,2135
2017-10-03,977581.0,198.4936040609137,4925
2017-10-04,1087551.0,194.72712623097584,5585
2017-10-05,1029085.0,198.473481195757,5185
2017-10-06,911827.0,229.56369587109768,3972
2017-10-07,879983.0,233.47917219421598,3769
2017-10-08,1156657.0,196.0103372309778,5901
2017-10-09,1475960.0,183.8515196811161,8028
2017-10-10,1579408.0,178.2627539503386,8860
2017-10-11,1561217.0,177.67349493570046,8787
2017-10-12,1472073.0,178.02309831902286,8269
2017-10-13,1422765.0,187.77418503365448,7577
2017-10-14,1442821.0,186.9665673189063,7717
2017-10-15,1664199.0,176.68531691262342,9419
2017-10-16,1751710.0,173.45380730765422,10099
2017-10-17,1774451.0,172.46097774322092,10289
2017-10-18,1720072.0,170.86242177411344,10067
2017-10-19,1643125.0,172.05497382198953,9550
2017-10-20,1618629.0,179.74780677401444,9005
2017-10-21,1610574.0,177.27837094111172,9085
2017-10-22,1771432.0,171.00415097982432,10359
2017-10-23,1830395.0,169.84272060870373,10777
2017-10-24,1826399.0,169.0953615405981,10801
2017-10-25,1792386.0,168.03093653323333,10667
2017-10-26,1734346.0,168.79279805352797,10275
2017-10-27,1753548.0,176.43102927859945,9939
2017-10-28,1791136.0,176.55357318876293,10145
2017-10-29,1924288.0,169.10870902539767,11379
2017-10-30,2013168.0,167.42914171656687,12024
2017-10-31,2085123.0,167.19773875390908,12471
2017-11-01,2096959.0,165.58425457991157,12664
2017-11-02,2015793.0,164.0857142857143,12285
2017-11-03,1991861.0,168.98795282938832,11787
2017-11-04,2047845.0,170.21403042141137,12031
2017-11-05,2245772.0,164.621902946782,13642
2017-11-06,2437004.0,164.2628740900512,14836
2017-11-07,2523812.0,164.32137508952405,15359
2017-11-08,2564816.0,164.05372905206602,15634
2017-11-09,2544945.0,163.88337948354692,15529
2017-11-10,2592308.0,169.1334246754094,15327
2017-11-11,2622508.0,168.58498328619183,15556
2017-11-12,2693861.0,164.13971484279796,16412
2017-11-13,2744741.0,163.3871659027323,16799
2017-11-14,2776572.0,163.3854301518183,16994
2017-11-15,2786069.0,163.28131043778936,17063
2017-11-16,2776461.0,163.53286606196255,16978
2017-11-17,2874542.0,169.16036014829635,16993
2017-11-18,2836751.0,168.313219413789,16854
2017-11-19,2806613.0,162.8532551932227,17234
2017-11-20,2808513.0,162.7368756518716,17258
2017-11-21,2714788.0,161.12457712623893,16849
2017-11-22,2649089.0,161.93465370743934,16359
2017-11-23,2653192.0,164.63092578803673,16116
2017-11-24,2745982.0,168.40316447933276,16306
2017-11-25,2909169.0,170.59573095642995,17053
2017-11-26,2958551.0,166.54756811528935,17764
2017-11-27,2919975.0,164.08963191907839,17795
2017-11-28,2900071.0,163.3198738525652,17757
2017-11-29,2843832.0,162.44898891808523,17506
2017-11-30,2742398.0,160.39291145163176,17098
2017-12-01,2762110.0,164.92178170527825,16748
2017-12-02,2731205.0,164.70902183090098,16582
2017-12-03,2767146.0,161.73627915132386,17109
2017-12-04,2802694.0,162.14602256291582,17285
2017-12-05,2805048.0,161.89818769479396,17326
2017-12-06,2770575.0,160.91154605645255,17218
2017-12-07,2694211.0,158.64164164164166,16983
2017-12-08,2776466.0,163.1391973676479,17019
2017-12-09,2838969.0,163.75203322374114,17337
2017-12-10,2921332.0,161.30152945723594,18111
2017-12-11,2994235.0,162.02570346320346,18480
2017-12-12,3047058.0,162.32795269298387,18771
2017-12-13,3058891.0,162.33566841798014,18843
2017-12-14,3048781.0,162.25550824906864,18790
2017-12-15,3152663.0,167.40988742565844,18832
2017-12-16,3163654.0,167.58417205212416,18878
2017-12-17,3128898.0,163.40599540421977,19148
2017-12-18,3137809.0,163.18956729769087,19228
2017-12-19,3133331.0,162.9905846858094,19224
2017-12-20,3141270.0,164.10354194963955,19142
2017-12-21,3172891.0,166.6434348739496,19040
2017-12-22,3276775.0,174.38930282064928,18790
2017-12-23,3208079.0,175.6985048469248,18259
2017-12-24,3129396.0,175.51295569265284,17830
2017-12-25,3061068.0,176.15629855556196,17377
2017-12-26,2954573.0,174.74408563993376,16908
2017-12-27,2872486.0,175.52618392911702,16365
2017-12-28,2821839.0,178.39417119737007,15818
